application_id,group,annual_income,credit_score,employment_length,debt_to_income,revolving_util,num_credit_lines,loan_amount,home_ownership,loan_purpose,age,defaulted
L64162,A,"$66,593",734.0,5 years,0.112,0.574,8,8100,MORTGAGE,home_improvement,18,0
L61993,B,"$50,930",688.0,8 years,0.378,0.039,7,22300,RENT,debt_consolidation,36,0
L63227,A,"$116,757",560.0,4 years,0.195,0.145,9,11300,MORTGAGE,credit_card,37,0
L61302,A,"$99,407",658.0,9 years,0.101,0.078,10,29000,RENT,debt_consolidation,25,0
L61004,A,"$28,014",787.0,6 years,0.439,0.533,11,24200,RENT,debt_consolidation,29,1
L63011,A,n/a,787.0,10+ years,0.213,0.347,7,15500,OWN,medical,52,1
L65018,A,"$45,726",630.0,< 1 year,0.18,0.491,14,4600,MORTGAGE,credit_card,49,1
L63896,A,"$60,062",613.0,3 years,0.25,0.428,6,1000,MORTGAGE,major_purchase,47,0
L62072,B,"$48,237",604.0,4 years,0.428,0.193,4,1000,OWN,debt_consolidation,36,0
L62254,B,"$43,249",803.0,4 years,0.293,0.173,10,32200,RENT,debt_consolidation,36,0
L60015,A,"$17,009",515.0,7 years,0.356,0.625,9,20900,RENT,debt_consolidation,57,1
L64904,B,"$106,885",735.0,10 years,0.455,0.311,5,24600,RENT,credit_card,24,0
L62328,B,"$23,313",642.0,< 1 year,0.288,0.584,9,17300,OWN,debt consolidation,38,0
L62141,A,"$69,544",825.0,6 years,0.392,0.768,9,2100,MORTGAGE,debt_consolidation,24,0
L62628,A,"$53,862",709.0,4 years,0.338,0.073,10,26700,Rent,home_improvement,49,0
L62206,A,"$47,818",664.0,9 years,0.261,0.162,12,6500,MORTGAGE,credit_card,45,1
L60582,B,n/a,648.0,3 years,0.241,0.951,2,6400,RENT,other,29,0
L60079,A,"$80,255",669.0,8 years,0.496,0.494,10,33700,RENT,debt_consolidation,51,1
L60963,B,"$38,519",523.0,5 years,0.262,0.353,4,10200,MORTGAGE,debt_consolidation,44,1
L60563,B,"$27,882",651.0,10+ years,0.178,0.654,11,12800,MORTGAGE,medical,38,1
L61817,B,"$111,151",684.0,3 years,0.17,0.554,7,14900,MORTGAGE,medical,57,0
L64060,B,"$46,054",638.0,1 years,0.519,0.43,13,7000,MORTGAGE,Debt Consolidation,23,0
L62412,A,"$86,356",711.0,7 years,0.455,0.0,6,8500,RENT,home_improvement,38,0
L64561,B,"$119,432",551.0,3 years,0.402,0.576,5,4200,OWN,debt consolidation,29,0
L61826,A,"$61,331",639.0,10+ years,0.411,0.692,8,21000,MORTGAGE,Debt Consolidation,62,1
L61560,B,"$61,869",683.0,4 years,0.382,0.667,10,29900,RENT,Debt Consolidation,46,1
L63301,B,"$26,871",712.0,7 years,0.276,0.0,4,14000,Rent,major_purchase,33,1
L63612,A,"$59,255",580.0,6 years,0.351,0.526,16,21200,RENT,Debt Consolidation,50,0
L60649,A,"$97,946",633.0,10+ years,0.339,0.165,7,1000,RENT,Credit Card,23,0
L61935,A,"$58,148",735.0,7 years,0.415,0.625,10,24900,MORTGAGE,credit_card,55,0
L61706,B,"$38,658",726.0,6 years,0.158,0.524,2,1000,MORTGAGE,Debt Consolidation,50,0
L61604,B,"$57,215",743.0,2 years,0.302,0.191,9,1000,OWN,credit_card,52,0
L65129,A,"$47,403",695.0,5 years,0.205,0.487,8,15100,OWN,debt_consolidation,33,1
L64893,A,"$85,136",662.0,6 years,0.303,0.32,7,18400,MORTGAGE,debt_consolidation,43,0
L63056,A,"$38,403",736.0,10+ years,0.283,0.261,4,1000,OWN,credit_card,64,0
L60278,A,"$32,760",531.0,5 years,0.217,0.443,9,15600,Rent,other,18,1
L60495,B,n/a,720.0,8 years,0.369,0.479,7,16000,OWN,credit_card,47,0
L63516,A,"$18,677",708.0,10+ years,0.295,0.181,12,15000,OWN,debt_consolidation,67,1
L63073,A,"$74,309",,6 years,0.275,0.738,7,2400,MORTGAGE,Debt Consolidation,39,0
L61283,B,"$98,423",708.0,3 years,0.446,0.479,5,19900,Mortgage,debt consolidation,38,1
L63116,A,"$52,946",628.0,10 years,0.003,0.439,11,13300,RENT,medical,35,1
L64575,B,"$54,528",794.0,10+ years,0.265,0.703,8,12100,RENT,Credit Card,27,0
L62482,B,"$62,768",630.0,8 years,0.368,0.329,6,13600,MORTGAGE,major_purchase,25,0
L61130,B,"$48,162",733.0,1 years,0.332,0.44,9,35800,mortgage,debt_consolidation,56,0
L64662,A,"$28,304",683.0,7 years,0.229,0.623,10,8400,RENT,debt_consolidation,26,0
L65035,A,"$55,978",610.0,5 years,0.387,0.559,6,2100,Mortgage,Medical,35,0
L61263,B,"$28,354",658.0,4 years,0.236,0.243,14,26600,OWN,Major Purchase,56,0
L62714,B,"$32,798",785.0,10+ years,0.218,0.219,8,18400,Own,Major Purchase,24,0
L60721,B,"$92,522",655.0,10+ years,0.235,0.152,8,3900,RENT,Other,47,0
L63971,A,"$73,625",729.0,8 years,0.119,0.704,10,10100,RENT,credit_card,65,0
L61176,A,"$117,516",744.0,2 years,0.051,0.57,14,39900,OWN,credit_card,31,0
L61775,B,"$53,577",643.0,4 years,0.232,0.434,7,14100,MORTGAGE,major_purchase,36,0
L60497,A,"$87,118",637.0,4 years,0.33,0.208,13,16800,RENT,other,41,1
L65051,A,"$51,806",667.0,4 years,0.214,0.551,7,11400,RENT,credit_card,44,1
L64376,B,"$19,097",599.0,10+ years,0.296,0.3,7,33000,RENT,credit_card,41,0
L64459,A,"$43,170",648.0,4 years,0.494,0.803,10,10100,MORTGAGE,credit_card,47,1
L62992,A,"$42,384",729.0,9 years,0.381,0.41,5,7800,RENT,debt_consolidation,29,1
L64628,A,"$25,267",671.0,3 years,0.114,0.446,8,6800,mortgage,Home Improvement,61,0
L61328,B,"$31,108",700.0,8 years,0.288,0.87,7,1600,Rent,Major Purchase,54,0
L62741,A,"$88,300",721.0,6 years,0.334,0.403,9,12400,MORTGAGE,credit_card,43,1
L61236,A,"$33,054",647.0,4 years,0.154,0.578,15,1000,RENT,home_improvement,42,0
L61071,A,"$76,416",698.0,7 years,0.311,0.226,14,34300,RENT,other,38,0
L60826,A,"$34,085",605.0,8 years,0.397,0.078,7,29400,rent,debt_consolidation,50,0
L62511,A,"$72,660",648.0,4 years,0.36,0.289,10,13400,MORTGAGE,debt_consolidation,8,0
L64996,A,"$45,306",754.0,3 years,0.276,0.532,2,6000,RENT,debt consolidation,30,1
L65006,B,"$82,860",696.0,10+ years,0.303,0.313,11,9400,OWN,Debt Consolidation,45,0
L63607,A,"$68,482",755.0,< 1 year,0.276,0.373,4,16100,RENT,debt_consolidation,47,0
L60799,B,"$73,625",583.0,2 years,0.396,0.464,11,6800,MORTGAGE,Debt Consolidation,24,1
L62176,A,"$70,300",722.0,10+ years,0.203,0.076,10,16200,OWN,credit card,18,0
L64989,B,"$31,222",733.0,9 years,0.365,0.989,16,11200,MORTGAGE,medical,41,0
L60586,A,"$60,510",760.0,10+ years,0.447,0.338,9,10000,RENT,home_improvement,44,0
L62481,A,"$51,499",704.0,2 years,0.2,0.54,9,13300,OWN,debt_consolidation,43,0
L62183,A,"$43,817",742.0,3 years,0.189,0.45,4,12200,MORTGAGE,Credit Card,60,0
L64800,A,"$119,380",537.0,7 years,0.385,0.682,9,29500,Mortgage,Major Purchase,32,0
L60259,A,"$58,165",566.0,7 years,0.061,0.85,6,9900,RENT,major_purchase,23,0
L60921,B,"$39,373",662.0,4 years,0.598,0.836,13,18200,MORTGAGE,home_improvement,33,0
L60524,B,"$16,907",692.0,8 years,0.237,0.811,9,1400,RENT,other,39,1
L64046,B,"$90,619",621.0,10+ years,0.439,0.708,8,8500,OWN,major_purchase,27,1
L61649,A,"$81,365",807.0,1 years,0.057,0.491,14,14100,RENT,medical,45,1
L61190,A,"$65,462",759.0,2 years,0.375,0.15,7,13600,RENT,debt_consolidation,40,0
L63830,A,"$108,430",646.0,8 years,0.279,0.195,9,17700,MORTGAGE,debt_consolidation,39,0
L63342,A,"$72,691",675.0,7 years,0.284,0.59,8,5100,MORTGAGE,other,21,0
L60122,B,"$84,005",620.0,3 years,0.384,0.393,4,7900,MORTGAGE,debt consolidation,35,1
L64764,A,"$57,983",761.0,10+ years,0.421,0.62,8,11900,MORTGAGE,debt_consolidation,40,0
L60472,A,"$71,222",650.0,3 years,0.514,0.939,8,18800,MORTGAGE,other,59,1
L62697,A,"$79,050",657.0,7 years,0.43,0.852,8,11300,own,Debt Consolidation,34,1
L61475,A,"$121,380",644.0,2 years,0.17,0.502,7,18700,RENT,credit_card,30,0
L61662,A,"$38,445",755.0,10+ years,0.302,0.495,9,4000,mortgage,debt_consolidation,40,0
L61461,A,n/a,710.0,10+ years,0.268,0.211,13,19800,rent,debt_consolidation,18,0
L62228,B,"$45,837",558.0,5 years,0.367,0.121,6,22100,RENT,debt_consolidation,32,0
L62110,B,"$55,580",725.0,4 years,0.379,0.66,7,18800,RENT,Credit Card,40,0
L61857,A,"$52,589",742.0,10+ years,0.586,0.476,15,24300,RENT,debt_consolidation,49,0
L61364,B,"$103,996",632.0,8 years,0.421,0.566,9,22200,RENT,credit_card,22,0
L65177,B,"$102,636",711.0,2 years,0.324,0.407,8,18600,OWN,home_improvement,48,0
L64354,B,"$41,834",577.0,10+ years,0.26,0.392,4,15800,OWN,credit_card,35,0
L63252,A,"$93,821",581.0,< 1 year,0.222,0.055,13,31400,RENT,credit_card,54,0
L63909,B,"$36,436",603.0,8 years,0.189,0.646,3,23200,RENT,medical,30,0
L60811,B,"$8,000",648.0,4 years,0.276,0.331,8,17500,Rent,debt_consolidation,59,0
L60744,A,"$89,174",747.0,2 years,0.136,0.504,6,7300,RENT,debt_consolidation,23,0
L61527,A,"$64,813",681.0,7 years,0.204,0.402,11,25700,OWN,debt_consolidation,56,1
L60793,A,"$28,986",690.0,4 years,0.133,0.28,8,21700,RENT,medical,42,0
L62558,A,"$59,353",729.0,1 years,0.323,0.399,6,23000,MORTGAGE,home_improvement,30,0
L64937,B,"$112,714",788.0,5 years,0.032,0.609,7,8300,OWN,debt_consolidation,39,0
L61972,B,"$43,696",819.0,5 years,0.571,0.413,8,15600,Rent,other,10,1
L64847,B,"$30,945",760.0,3 years,0.576,0.411,13,11800,MORTGAGE,Debt Consolidation,31,1
L62288,A,"$33,239",707.0,6 years,0.431,0.654,11,15100,MORTGAGE,home_improvement,19,0
L64536,A,"$69,626",680.0,6 years,0.34,0.575,8,13600,MORTGAGE,credit_card,29,0
L62497,B,"$52,948",693.0,10+ years,0.468,0.807,6,31800,mortgage,Home Improvement,40,1
L60428,A,"$49,959",733.0,6 years,0.233,0.58,6,8500,mortgage,credit_card,43,0
L60551,B,"$101,979",731.0,4 years,0.279,0.497,2,33600,Mortgage,major_purchase,30,0
L60125,B,"$38,114",640.0,10+ years,0.202,0.385,10,1000,RENT,major_purchase,34,0
L61959,A,"$86,465",608.0,7 years,0.356,0.525,13,9100,OWN,debt_consolidation,33,0
L64748,B,"$42,353",714.0,10 years,0.49,0.462,4,10000,MORTGAGE,Debt Consolidation,44,0
L63253,B,n/a,618.0,10+ years,0.113,0.662,7,14200,MORTGAGE,credit_card,38,1
L63917,A,"$21,475",697.0,5 years,0.531,0.452,6,17800,MORTGAGE,Credit Card,50,1
L61807,B,"$45,943",648.0,7 years,0.25,0.742,6,3900,MORTGAGE,debt_consolidation,48,0
L61590,A,"$64,129",777.0,2 years,0.298,0.251,7,20300,Mortgage,debt_consolidation,22,0
L64413,A,"$121,527",693.0,7 years,0.161,0.005,5,10300,mortgage,credit card,40,0
L62597,A,"$57,314",605.0,8 years,0.254,0.291,6,18400,RENT,credit card,42,0
L64815,B,"$127,709",709.0,,0.331,0.442,7,19000,RENT,debt_consolidation,60,0
L60103,A,"$79,292",688.0,2 years,0.384,0.385,12,18800,Mortgage,credit_card,52,0
L63349,B,"$149,687",712.0,9 years,0.133,0.799,9,18600,MORTGAGE,medical,43,0
L64720,B,"$83,801",513.0,2 years,0.309,0.502,8,1000,RENT,debt_consolidation,36,1
L64342,A,"$59,414",801.0,6 years,0.326,0.247,9,10600,rent,debt consolidation,61,0
L63214,A,"$67,334",790.0,6 years,0.097,0.875,11,23300,RENT,major_purchase,23,0
L61496,B,"$78,114",697.0,8 years,0.583,0.472,3,15900,rent,debt_consolidation,63,1
L61111,A,"$71,465",655.0,1 years,0.183,0.438,9,21600,OWN,credit_card,43,0
L64601,B,"$121,338",707.0,1 years,0.297,0.564,6,22900,OWN,debt_consolidation,38,0
L64885,A,"$79,435",632.0,8 years,0.359,0.553,8,22800,MORTGAGE,Medical,47,0
L64785,A,"$112,649",589.0,8 years,0.35,0.479,7,13800,RENT,debt_consolidation,30,1
L62537,A,"$57,422",703.0,10 years,0.143,0.638,9,14300,RENT,major_purchase,47,0
L63160,A,"$39,600",795.0,7 years,0.265,0.246,5,19000,Own,credit_card,29,0
L61064,A,"$63,426",793.0,10+ years,0.257,0.809,8,1000,RENT,debt_consolidation,47,0
L63249,A,"$55,393",818.0,3 years,0.385,0.547,8,4700,Own,other,35,0
L64751,A,"$54,353",617.0,3 years,0.449,0.348,3,25200,MORTGAGE,major_purchase,21,0
L64027,A,"$56,228",676.0,2 years,0.541,0.085,7,9200,RENT,major_purchase,24,0
L61058,A,"$96,793",700.0,4 years,0.207,0.486,7,8100,Mortgage,debt_consolidation,37,1
L64956,A,"$54,223",680.0,6 years,0.309,0.518,10,16100,RENT,home_improvement,32,0
L61507,A,"$183,286",653.0,4 years,0.284,0.358,9,28500,MORTGAGE,credit_card,45,0
L64325,A,"$70,601",653.0,2 years,0.456,0.52,9,9300,Mortgage,home_improvement,54,1
L60305,B,n/a,610.0,5 years,0.19,0.221,8,13800,MORTGAGE,home_improvement,58,0
L62496,A,"$88,890",688.0,6 years,0.375,0.17,12,17500,MORTGAGE,Major Purchase,55,0
L61543,A,"$51,535",618.0,3 years,0.137,0.475,14,16000,MORTGAGE,debt_consolidation,49,1
L63499,A,"$100,563",714.0,2 years,0.4,0.363,11,32600,RENT,debt_consolidation,50,0
L65047,B,"$52,122",735.0,< 1 year,0.243,0.547,5,6500,MORTGAGE,debt_consolidation,58,0
L61928,B,"$79,324",709.0,4 years,0.431,0.518,7,19500,MORTGAGE,Credit Card,49,0
L63030,B,"$88,169",771.0,10+ years,0.283,0.522,7,22600,RENT,home_improvement,50,0
L61387,A,"$94,256",674.0,6 years,0.444,0.502,4,18300,MORTGAGE,Debt Consolidation,57,0
L64693,B,"$34,336",563.0,7 years,0.268,0.486,7,29000,RENT,debt_consolidation,36,0
L61888,A,"$140,497",705.0,1 years,0.1,0.497,11,24600,Own,debt_consolidation,51,0
L60208,A,"$35,539",643.0,6 years,0.173,0.293,12,5600,MORTGAGE,credit_card,47,0
L61957,B,"$29,416",648.0,8 years,0.189,0.624,6,13800,MORTGAGE,debt consolidation,58,0
L64878,A,"$50,521",733.0,4 years,0.4,0.684,10,32700,rent,debt_consolidation,48,1
L62709,A,"$133,803",707.0,10+ years,0.263,0.733,6,20900,MORTGAGE,medical,31,0
L61873,A,"$34,162",604.0,10+ years,0.17,0.561,15,27900,RENT,debt_consolidation,60,0
L60368,B,"$27,087",599.0,10+ years,0.35,0.228,11,6800,OWN,debt_consolidation,36,0
L62118,B,"$53,677",662.0,< 1 year,0.314,0.593,8,21000,RENT,debt_consolidation,34,1
L61460,B,"$63,638",687.0,3 years,0.251,0.13,5,31100,MORTGAGE,credit_card,35,0
L62247,A,"$35,187",723.0,5 years,0.319,0.472,11,29000,RENT,credit_card,23,0
L60688,A,"$76,749",698.0,6 years,0.27,0.62,9,1000,mortgage,debt consolidation,31,0
L62405,B,"$35,167",736.0,1 years,0.297,0.229,9,21700,MORTGAGE,credit_card,50,0
L60454,B,"$39,710",574.0,5 years,0.56,0.358,4,7200,RENT,debt_consolidation,30,1
L63965,B,"$60,156",588.0,5 years,0.207,0.327,11,7600,OWN,home_improvement,34,0
L62995,B,"$59,780",586.0,10+ years,0.124,0.691,3,28100,RENT,debt consolidation,42,0
L64685,B,"$142,479",748.0,8 years,0.442,0.416,2,8400,OWN,debt_consolidation,46,1
L64750,A,"$48,547",714.0,2 years,0.424,0.361,14,14500,mortgage,major_purchase,37,1
L62389,A,"$70,696",582.0,5 years,0.124,0.765,11,15500,MORTGAGE,Major Purchase,38,0
L63303,A,"$42,873",730.0,2 years,0.28,0.291,8,31900,Rent,medical,44,0
L60994,B,"$50,533",708.0,10+ years,0.354,0.401,7,21300,MORTGAGE,debt_consolidation,43,0
L60824,B,"$83,936",,7 years,0.424,0.231,8,13000,RENT,credit_card,42,0
L63759,A,"$46,766",770.0,10+ years,0.202,0.448,12,22400,MORTGAGE,Other,21,0
L62691,A,n/a,606.0,5 years,0.44,0.096,9,19300,OWN,medical,41,1
L62283,B,"$71,704",695.0,1 years,0.244,0.306,8,1000,MORTGAGE,Home Improvement,56,1
L62146,B,"$54,609",743.0,3 years,0.37,0.601,8,19000,OWN,debt consolidation,38,1
L62120,A,"$93,230",569.0,10+ years,0.108,0.512,9,5100,RENT,debt consolidation,55,0
L61260,A,"$74,931",705.0,5 years,0.332,0.585,13,17900,MORTGAGE,Credit Card,55,1
L63542,A,"$29,119",754.0,3 years,0.049,0.399,14,15800,rent,debt_consolidation,65,0
L64558,B,"$68,059",621.0,4 years,0.37,0.565,9,18600,Rent,debt consolidation,39,0
L63240,A,"$91,121",669.0,7 years,0.301,0.382,6,34300,mortgage,other,80,0
L62370,A,"$52,199",573.0,5 years,0.198,0.323,10,41000,Mortgage,Medical,47,0
L61239,B,"$119,061",732.0,10+ years,0.223,0.287,6,18600,RENT,Credit Card,21,0
L63735,A,"$21,172",717.0,3 years,0.225,0.191,9,9300,MORTGAGE,debt_consolidation,36,1
L61104,B,"$75,673",752.0,< 1 year,0.262,0.348,7,17400,MORTGAGE,credit_card,37,0
L62878,B,"$73,437",688.0,10+ years,0.093,0.313,10,8500,RENT,debt consolidation,53,0
L61291,B,"$69,744",585.0,6 years,0.29,0.467,9,1000,MORTGAGE,major_purchase,29,0
L60199,A,"$93,039",741.0,4 years,0.398,0.339,8,27600,RENT,debt consolidation,53,0
L61150,B,"$148,523",640.0,< 1 year,0.164,0.646,8,14700,MORTGAGE,credit_card,49,0
L61920,A,n/a,660.0,10+ years,0.086,0.479,11,5000,MORTGAGE,debt_consolidation,35,0
L61576,B,"$59,181",670.0,5 years,0.562,0.279,5,9500,MORTGAGE,home_improvement,19,1
L60862,B,"$68,774",793.0,5 years,0.344,0.459,5,17200,MORTGAGE,credit_card,56,0
L63223,A,"$38,721",656.0,10+ years,0.301,0.901,7,28600,RENT,debt_consolidation,22,1
L63782,B,"$93,418",593.0,10+ years,0.238,0.381,8,38000,Mortgage,other,39,0
L63966,A,"$77,466",656.0,3 years,0.199,0.536,6,23500,MORTGAGE,Home Improvement,39,0
L60459,A,"$59,832",711.0,3 years,0.309,0.493,9,2100,OWN,Other,30,0
L64928,B,"$59,542",639.0,4 years,0.356,0.256,4,7600,OWN,home_improvement,30,0
L64911,B,"$41,897",576.0,2 years,0.351,0.36,7,1000,mortgage,credit_card,52,0
L63026,A,"$53,513",719.0,10 years,0.298,0.561,13,24200,RENT,medical,37,0
L60391,A,"$174,732",654.0,6 years,0.237,0.399,7,28600,rent,home_improvement,59,0
L62356,B,n/a,670.0,8 years,0.266,0.308,6,1000,Mortgage,home_improvement,66,0
L61478,A,"$149,660",715.0,5 years,0.195,0.42,14,19500,RENT,credit card,28,0
L63904,B,"$44,907",654.0,4 years,0.421,0.368,10,6800,RENT,home_improvement,40,0
L60241,B,"$74,947",728.0,,0.227,0.409,8,27100,RENT,major_purchase,38,0
L60803,B,"$58,643",677.0,< 1 year,0.38,0.53,6,15600,MORTGAGE,credit_card,50,0
L62797,A,"$18,532",748.0,5 years,0.32,0.187,10,8500,rent,other,32,0
L62646,B,"$49,669",550.0,10+ years,0.31,0.672,3,8100,MORTGAGE,other,36,1
L62248,B,"$62,859",657.0,4 years,0.287,0.324,7,18300,RENT,debt_consolidation,52,0
L61871,B,"$88,517",579.0,6 years,0.261,0.966,9,1000,MORTGAGE,debt_consolidation,27,1
L63382,A,"$94,619",749.0,6 years,0.141,0.618,8,20800,mortgage,credit_card,58,0
L61838,B,"$16,916",638.0,9 years,0.448,0.641,7,6300,RENT,credit_card,23,1
L61619,A,"$60,987",585.0,6 years,0.257,0.562,8,10300,MORTGAGE,other,35,1
L63119,B,"$78,982",685.0,3 years,0.36,0.457,5,12400,MORTGAGE,Debt Consolidation,57,0
L61092,B,"$20,874",642.0,< 1 year,0.241,0.403,10,14000,MORTGAGE,debt_consolidation,61,0
L64637,A,"$54,358",592.0,10+ years,0.269,0.666,16,13100,rent,home_improvement,40,1
L63856,B,"$41,674",587.0,7 years,0.158,0.141,12,9600,MORTGAGE,debt_consolidation,42,0
L62085,A,"$87,801",706.0,5 years,0.266,0.516,7,15900,RENT,debt_consolidation,24,0
L64663,A,"$35,592",714.0,,0.196,0.701,3,12600,OWN,home_improvement,52,0
L60441,B,"$32,715",697.0,5 years,0.368,0.566,12,9300,RENT,debt_consolidation,28,0
L61550,A,"$32,812",644.0,9 years,0.224,0.536,6,1000,OWN,credit_card,18,0
L62965,B,"$52,997",648.0,5 years,0.323,0.388,6,9400,RENT,Credit Card,56,1
L60884,B,"$17,536",704.0,< 1 year,0.409,0.496,8,8900,RENT,major_purchase,53,1
L62038,A,"$42,148",655.0,4 years,0.146,0.653,10,1000,mortgage,credit_card,34,0
L61736,A,"$35,403",678.0,< 1 year,0.209,0.564,8,5600,Rent,Major Purchase,55,1
L60576,B,"$27,018",644.0,6 years,0.209,0.607,11,10900,rent,debt_consolidation,33,1
L61559,A,"$20,401",786.0,7 years,0.319,0.241,6,23700,rent,credit_card,36,0
L60981,A,"$58,589",661.0,< 1 year,0.0,0.76,8,4400,OWN,debt_consolidation,53,0
L60110,B,"$24,771",,8 years,0.26,0.069,10,5500,RENT,debt_consolidation,48,0
L63983,B,"$32,535",680.0,4 years,0.396,0.706,7,10800,rent,credit_card,37,0
L60742,B,"$23,504",641.0,3 years,0.364,0.301,9,11000,OWN,other,48,1
L61501,B,"$56,339",598.0,10+ years,0.218,0.189,10,33800,MORTGAGE,credit_card,39,0
L64666,A,"$66,587",692.0,10 years,0.177,0.752,6,20500,MORTGAGE,debt consolidation,35,0
L61881,A,"$37,434",711.0,2 years,0.0,0.182,11,10200,MORTGAGE,debt consolidation,71,1
L63778,B,"$114,208",558.0,10+ years,0.289,0.457,5,14900,OWN,credit_card,38,0
L63142,A,"$57,935",738.0,6 years,0.273,0.038,7,1000,RENT,debt consolidation,45,0
L62784,A,"$89,200",682.0,5 years,0.25,0.313,10,27600,RENT,debt_consolidation,38,0
L63531,A,"$98,655",723.0,10+ years,0.28,0.534,15,16100,rent,debt_consolidation,43,0
L64547,A,"$58,886",621.0,2 years,0.405,0.266,15,21700,MORTGAGE,credit_card,57,0
L62367,A,"$46,430",703.0,9 years,0.223,0.904,9,8400,MORTGAGE,home_improvement,42,0
L60020,B,"$47,295",672.0,2 years,0.214,0.526,13,6200,RENT,other,41,0
L63365,B,"$34,567",713.0,2 years,0.421,0.658,4,20400,OWN,Home Improvement,35,1
L61209,A,"$133,336",685.0,4 years,0.257,0.687,11,12800,MORTGAGE,medical,39,0
L60475,A,"$56,881",746.0,4 years,0.318,0.194,9,30000,Rent,credit_card,54,0
L61558,B,"$49,867",836.0,5 years,0.229,0.36,5,18800,MORTGAGE,major_purchase,41,0
L62121,A,"$45,484",720.0,3 years,0.272,0.496,6,18100,MORTGAGE,debt_consolidation,49,1
L63469,A,"$59,802",675.0,6 years,0.349,0.866,4,16400,mortgage,debt_consolidation,46,0
L60738,B,"$87,236",623.0,4 years,0.25,0.193,6,13500,RENT,home_improvement,18,0
L61638,A,"$42,409",790.0,9 years,0.282,0.681,6,16100,RENT,credit_card,40,0
L60325,B,"$37,102",713.0,2 years,0.639,0.386,10,22400,RENT,debt_consolidation,53,1
L61625,B,"$165,061",661.0,10+ years,0.286,0.468,9,29700,rent,debt consolidation,43,0
L60603,A,"$53,151",540.0,5 years,0.338,0.639,6,14000,OWN,debt_consolidation,27,0
L63890,B,"$46,608",617.0,2 years,0.229,0.481,13,1000,MORTGAGE,debt_consolidation,39,0
L61022,A,"$39,837",666.0,2 years,0.335,0.755,11,17800,RENT,debt_consolidation,34,1
L60021,A,"$67,252",662.0,9 years,0.392,0.384,15,9700,RENT,other,18,0
L63259,B,"$64,792",550.0,1 years,0.361,0.261,7,26100,RENT,debt_consolidation,26,1
L61426,A,"$115,182",664.0,3 years,0.232,0.745,11,11300,Mortgage,Home Improvement,48,1
L63934,A,"$33,830",562.0,4 years,0.206,0.661,5,23000,MORTGAGE,credit_card,31,0
L61097,A,"$30,223",723.0,3 years,0.402,0.532,5,16000,RENT,debt consolidation,39,0
L64743,B,"$79,844",645.0,5 years,0.465,0.614,10,10900,mortgage,debt_consolidation,53,1
L60028,A,"$57,063",765.0,3 years,0.169,0.209,7,15200,MORTGAGE,Other,39,0
L61589,A,"$47,251",660.0,5 years,0.225,0.568,9,4800,OWN,credit_card,35,0
L60004,B,"$59,506",781.0,< 1 year,0.337,0.404,6,3700,Mortgage,Debt Consolidation,39,0
L64062,A,"$40,991",716.0,10+ years,0.414,0.954,7,8100,OWN,credit_card,40,1
L62908,B,"$38,489",688.0,10 years,0.339,0.055,7,41100,OWN,debt_consolidation,47,0
L63949,A,"$52,382",682.0,5 years,0.238,0.724,8,12200,OWN,home_improvement,52,0
L62160,A,"$78,361",666.0,10+ years,0.24,0.483,11,12200,rent,credit_card,31,1
L64270,B,"$58,473",591.0,10+ years,0.378,0.67,9,15100,MORTGAGE,medical,44,0
L60275,A,"$58,990",745.0,5 years,0.276,0.656,11,11200,RENT,debt_consolidation,39,0
L60064,A,"$21,971",557.0,9 years,0.452,0.194,10,12600,Own,credit_card,46,1
L60887,A,"$44,200",646.0,6 years,0.337,0.113,16,17400,RENT,debt_consolidation,51,0
L60109,A,"$48,022",658.0,10+ years,0.4,0.599,17,21500,Mortgage,debt_consolidation,31,0
L60369,A,"$96,438",494.0,4 years,-1.0,0.207,5,20900,MORTGAGE,credit_card,50,1
L62119,A,"$45,850",645.0,5 years,0.643,0.403,6,1000,MORTGAGE,medical,55,1
L64677,A,"$125,469",715.0,2 years,0.273,0.366,13,1000,RENT,credit_card,39,0
L63670,B,"$34,467",772.0,2 years,0.254,0.147,9,9500,OWN,home_improvement,56,0
L61116,A,"$33,429",,4 years,0.084,0.545,11,15800,MORTGAGE,credit_card,43,0
L64625,B,"$54,037",565.0,8 years,0.481,0.446,6,3300,OWN,debt_consolidation,18,0
L64708,A,"$114,609",604.0,7 years,0.255,0.375,7,27700,MORTGAGE,debt_consolidation,51,0
L61685,A,"$86,233",614.0,10 years,0.264,0.446,6,22900,Own,credit card,52,0
L64272,B,"$72,744",695.0,< 1 year,0.425,0.402,8,14400,MORTGAGE,other,45,0
L61580,A,"$21,309",699.0,7 years,0.221,0.0,7,30300,RENT,major_purchase,38,1
L61711,B,"$72,388",621.0,8 years,0.256,0.456,12,30500,RENT,debt_consolidation,42,0
L60957,A,"$45,182",721.0,4 years,0.333,0.487,9,8600,RENT,other,44,1
L62495,B,"$65,139",671.0,5 years,0.184,0.61,4,12900,MORTGAGE,debt_consolidation,26,0
L62745,B,"$46,760",630.0,3 years,0.397,0.748,6,4800,RENT,major_purchase,48,1
L61025,A,"$58,907",683.0,2 years,0.283,0.543,6,12800,RENT,major_purchase,28,0
L63493,B,"$62,089",,< 1 year,0.337,0.235,8,21300,rent,credit card,33,0
L64497,A,"$28,290",583.0,6 years,0.318,0.736,12,1000,OWN,debt consolidation,52,1
